Opportunity Category,Gender,Country,Institution Name,Current/Intended Major,Status Description,SignUp_Year,SignUp_Month,SignUp_Day,Age,Opportunity_Duration,Churn
Course,1,Pakistan,Nwihs,Radiology,Started,2023,6,14,24,604,1
Course,1,India,Saint Louis,Information Systems,Started,2023,5,1,25,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,29,26,604,1
Course,2,United States,Saint Louis University,Computer Science,Started,2023,1,6,25,604,1
Course,2,India,Saint Louis University,Mechanical Engineering,Waitlisted,2024,3,2,29,604,1
Course,2,India,Illinois Institute Of Technology,Computer Science and Engineering,Withdraw,2023,5,31,24,604,1
Course,1,United Arab Emirates,Gems New Millennium School Al Khail,Artificial Intelligence,Team Allocated,2023,7,22,19,604,1
Course,2,India,Ashoka Academy,Robotics and Automation Engineering,Started,2023,3,20,20,604,1
Course,1,India,Illinois Institute Of Technology,Computer Science,Team Allocated,2023,5,11,27,604,1
Course,1,Nigeria,Federal University  Lokoja,Data Visualization,Team Allocated,2023,9,4,27,604,1
Course,1,Nigeria,Bestower International University,Business Administration,Started,2023,1,28,28,604,1
Course,2,United States,Saint Louis University,Public Health,Team Allocated,2023,8,18,27,604,1
Course,2,Egypt,Abu Dhabi University,Architecture,Started,2023,6,14,28,604,1
Course,2,Nepal,Islington College,Computer Science and Information Systems,Started,2023,1,5,27,604,1
Course,1,India,Akal University,Computer Science and Information Systems,Started,2023,3,16,21,604,1
Course,1,United States,Saint Agnes Academy,Biology,Team Allocated,2023,10,31,19,604,1
Course,1,India,Saint Louis University,Information Systems,Team Allocated,2023,8,8,26,604,1
Course,1,Nigeria,Delta State University  Abraka,Economics,Team Allocated,2023,8,15,24,604,1
Course,1,Kenya,Kenya Utalii College,Oth,Started,2023,3,29,31,604,1
Course,1,Nigeria,Umaru Musa Yaradua University Katsina  Nigeria,Mathematics,Team Allocated,2023,7,8,31,604,1
Course,2,United States,Saint Louis University,Bioinformatics,Team Allocated,2023,10,16,24,604,1
Course,2,India,V. K. R  V. N. B & A. G. K College Of Engineering,I Am Major,Started,2023,5,5,28,604,1
Course,1,India,Narayana,Biomedical Engineering,Started,2023,5,9,20,604,1
Course,1,India,Jawaharlal Nehru Technological University,Computer Science and Information Systems,Started,2023,1,5,24,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,15,24,604,1
Course,2,Nigeria,Ambassadors College Ile Ife,Electrical and Electronic Engineering,Started,2023,3,17,20,604,1
Course,2,United States,Saint Louis University,Information Systems,Waitlisted,2023,9,19,26,604,1
Course,2,Nigeria,Federal University Of Maiduguri,Business and Management Studies,Started,2023,2,21,27,604,1
Course,1,Pakistan,The University Of Lahore,Public Health,Started,2023,3,26,27,604,1
Course,1,Pakistan,University Of Punjab,Electrical and Computer Engineering,Team Allocated,2023,8,17,24,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,19,26,604,1
Course,2,Ghana,Christian Service University College,Accounting and Finance,Team Allocated,2024,2,8,34,604,1
Course,2,Zambia,Kasiya College,Secretarial,Started,2023,5,11,24,604,1
Course,1,India,Srm University,Data Science,Started,2023,6,14,23,604,1
Course,1,Ghana,Kwame Nkrumah University Of Science And Technology (Knust),Statistics,Started,2023,6,15,26,604,1
Course,2,India,Gitam University,Computer Science and Information Systems,Team Allocated,2023,2,23,25,604,1
Course,1,United States,Illinois Institute Of Technology,Biomedical Engineering,Team Allocated,2023,11,9,22,604,1
Course,2,India,Dhanekula Institute Of Engineering And Technology,Electronics and Communication,Started,2023,6,17,24,604,1
Course,1,United States,Saint Louis University,Computer Information Systems,Team Allocated,2023,8,24,24,604,1
Course,2,Egypt,Ras El-Bar Higher Institute For Qualitative Studies And Computer,Management Information Systems,Team Allocated,2023,7,25,26,604,1
Course,2,United States,Lake Nona High School,Computer Science,Started,2023,3,14,20,604,1
Course,1,India,Muffakham Jah College Of Engineering And Technology,Computer Science,Team Allocated,2023,5,16,24,604,1
Course,1,United States,Dunlap High,Computer Science and Information Systems,Team Allocated,2023,1,5,19,604,1
Course,2,United States,Illinois Institute Of Technology,Computer Science,Started,2023,2,28,26,604,1
Course,1,India,Allen Institute,Other,Started,2023,6,11,21,604,1
Course,2,Ghana,University Of Energy And Natural Resources,Project Management,Started,2023,1,5,30,604,1
Course,2,India,Malla Reddy College Of Engineering And Technology,Computer Science and Engineering,Started,2023,1,18,27,604,1
Course,2,India,Camellia School Of Engineering And Technology,Data Science,Team Allocated,2023,7,9,29,604,1
Course,1,Pakistan,Beaconhouse College Programme Gulberg,Medicine,Started,2023,5,18,21,604,1
Course,2,India,Annamacharya Institute Of Technology And Sciences,Electrical and Electronic Engineering,Team Allocated,2023,7,25,24,604,1
Course,2,Morocco,ثانوية ابن سينا التأهيلية,Information,Started,2023,3,18,20,604,1
Course,1,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,7,20,26,604,1
Course,2,India,Eiilm,Information Technology,Waitlisted,2023,12,27,41,604,1
Course,1,Zambia,St Louis University,Actuarial Mathematics,Started,2023,3,11,21,604,1
Course,2,India,St. Louis University,Computer Information Systems,Team Allocated,2023,8,12,25,604,1
Course,1,Ghana,Ghana Institute Of Management And Public Administration,Business Administration,Started,2023,7,6,32,604,1
Course,1,United States,Saint Louis University,Computer Science,Team Allocated,2024,1,11,31,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,8,25,604,1
Course,2,Pakistan,Mehran Uet Szab Campus Khairpur Mir'S Sindh Pakistan,Mechanical Engineering,Started,2023,3,24,24,604,1
Course,1,Pakistan,Hamdard University Karachi,Software Engineering,Started,2023,3,16,24,604,1
Course,1,United States,Ladue Horton Watkins High,Biological Sciences,Started,2023,3,7,20,604,1
Course,1,Ethiopia,Addis Ababa University,Urban and Housing Development,Team Allocated,2023,8,20,35,604,1
Course,2,India,Agurchand Manmull Jain College,Computer Science,Started,2023,3,13,22,604,1
Course,2,Ghana,St. Thomas Aquinas Senior High School,Human Resources,Started,2023,6,14,21,604,1
Course,1,United States,Saint Louis University,Cyber Security,Team Allocated,2023,7,13,24,604,1
Course,1,India,Parul University,Computer Science,Started,2023,6,17,24,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2024,2,10,25,604,1
Course,2,India,G.M Institute Of Technology,Computer Science,Team Allocated,2023,7,9,24,604,1
Course,1,Zimbabwe,Kamuzu University Of Health Sciences,Medicine,Team Allocated,2024,1,22,20,604,1
Course,1,India,Rvr & Jc College Of Engineering,Computer Science and Engineering,Started,2023,5,19,21,604,1
Course,1,India,Kamla Nehru Mahavidhyalay Nagpur,Data Analytics,Team Allocated,2024,2,7,24,604,1
Course,1,India,Delhi Public School R.K. Puram,Computer Engineering,Started,2023,4,12,19,604,1
Course,2,India,Sagar Institute Of Research And Technology-Excellence,Computer Science and Engineering,Started,2023,3,27,22,604,1
Course,2,Nigeria,Uníversity Of Ilorin,Other,Started,2023,6,13,26,604,1
Course,1,Nigeria,Saint Louis University,Biomedical Engineering,Started,2023,2,20,20,604,1
Course,1,Nigeria,Yabatech,Accounting and Finance,Started,2023,6,11,26,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,22,24,604,1
Course,1,Pakistan,Superior Group Of College,Environmental Sciences,Started,2023,6,19,25,604,1
Course,1,Nigeria,University Of Abuja,Philosophy,Started,2023,2,21,25,604,1
Course,2,India,Itm Sls Baroda University,Computer Science and Engineering,Team Allocated,2023,11,20,23,604,1
Course,1,India,Veer Narmad South Gujarat University,Project Management,Started,2023,1,5,36,604,1
Course,1,Nepal,Nepal Law Campus,Law and Legal Studies,Waitlisted,2024,2,28,28,604,1
Course,2,India,Global Institute Of Technology And Management,Student,Started,2023,1,28,21,604,1
Course,1,United States,Saint Louis University,Computer Information Systems,Team Allocated,2023,11,9,25,604,1
Course,1,Zimbabwe,Chinhoyi University Of Technology,Industrial Engineering,Started,2023,6,7,28,604,1
Course,2,Uganda,Eastern Ministerial Institute,Theology or Divinity and Religious Studies,Started,2023,5,18,30,604,1
Course,2,United States,Saint Louis University,Data Analytics,Team Allocated,2024,1,30,23,604,1
Course,2,Ghana,Kwame Nkrumah University Of Science And Technology,Electrical and Electronic Engineering,Team Allocated,2023,10,18,22,604,1
Course,2,United States,University Of Connecticut,Business Analytics,Team Allocated,2023,6,13,28,604,1
Course,2,Nigeria,Funai College,Electrical and Electronic Engineering,Started,2023,3,8,21,604,1
Course,1,India,Dr Bhimrao Ambedkar University,Public Health,Started,2023,4,17,31,604,1
Course,2,India,Saint Louis University,Artificial Intelligence and Machine learning,Started,2023,1,5,31,604,1
Course,2,India,Illinois Institute Of Technology,Electrical and Electronic Engineering,Started,2023,5,4,25,604,1
Course,2,Nigeria,Crescent University  Abeokuta,Architecture,Started,2023,6,15,31,604,1
Course,2,United States,Illinois Institute Of Technology,Data Science,Withdraw,2023,7,27,28,604,1
Course,2,India,Saint Louis University,Business Analytics,Waitlisted,2023,6,2,28,604,1
Course,1,Nigeria,University Of Ilorin,Agriculture and Forestry,Team Allocated,2023,7,20,28,604,1
Course,1,Indonesia,Ignatius Global School,International Business Management,Started,2023,5,8,18,604,1
Course,1,Pakistan,Mehran Uniiversity Of Engineering And Technology Jamshoro Pakistan,Other,Started,2023,6,13,27,604,1
Course,1,Nigeria,Delta State University  Abraka,Accounting and Finance,Team Allocated,2023,8,10,27,604,1
Course,2,India,Yashwant Rao Chavan University Nashik,Politics,Started,2023,6,16,30,604,1
Course,2,India,Guru Nanak Dev University College Verka,Computer Science and Information Systems,Team Allocated,2023,6,16,25,604,1
Course,1,India,Army Institute Of Management And Technology Greater Noida,Marketing,Team Allocated,2023,7,16,22,604,1
Course,2,Nigeria,Federal University Of Agriculture Abeokuta,Pure and Applied Physics,Team Allocated,2023,8,8,21,604,1
Course,2,Pakistan,Abdul Wali Khan University Mardan,Biochemistry,Started,2023,6,13,26,604,1
Course,2,India,Indian Institute Of Information Technology  Bhopal,Information Technology,Waitlisted,2024,2,29,23,604,1
Course,1,Indonesia,Vocational High School 1 Tangerang City,Accounting and Finance,Team Allocated,2023,12,25,25,604,1
Course,1,Cameroon,Université De Yaoundé 2,Economics,Started,2023,6,8,42,604,1
Course,2,India,Saint Louis University,Information Systems,Waitlisted,2024,2,29,40,604,1
Course,1,United States,Illinois Institute Of Technology,Information Technology and Management,Team Allocated,2024,1,19,23,604,1
Course,1,Nigeria,River State University,Civil Engineering,Started,2023,6,16,26,604,1
Course,1,Pakistan,Fsc Medical,English,Started,2023,6,16,18,604,1
Course,2,India,Rosary High School,Marketing,Team Allocated,2023,7,8,22,604,1
Course,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,6,2,25,604,1
Course,2,United States,Saint Louis University,Business Analytics,Team Allocated,2023,1,11,24,604,1
Course,2,United States,Saint Louis University,Cyber Security,Team Allocated,2023,9,2,26,604,1
Course,2,Ghana,Accra Technical University,Electrical Engineering,Team Allocated,2023,7,19,23,604,1
Course,1,United States,Saint Louis University,Computer Science,Team Allocated,2023,9,12,26,604,1
Course,2,India,Hmr National Pu College,Computer Engineering,Started,2023,5,15,20,604,1
Course,2,India,Kluniversity,Computer Science,Team Allocated,2023,7,9,25,604,1
Course,2,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2024,1,4,29,604,1
Course,1,India,Institute Of Aeronautical Engineering,Computer Science,Started,2023,1,6,26,604,1
Course,1,India,Doon University,Economics,Team Allocated,2024,2,20,22,604,1
Course,1,Nigeria,University Of Lagos,Politics,Started,2023,6,16,25,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,8,4,27,604,1
Course,1,India,Mvsr Engineering College,Eee,Started,2023,1,5,25,604,1
Course,1,United States,Saint Louis University,Data Analytics,Team Allocated,2023,12,7,27,604,1
Course,1,Nigeria,University Of Calabar,Social Work,Team Allocated,2024,2,18,35,604,1
Course,2,India,Cmr Institute Of Technology,Data Science,Started,2023,7,1,22,604,1
Course,2,Ghana,University Of Energy And Natural Resources,Electrical and Computer Engineering,Team Allocated,2024,2,17,24,604,1
Course,2,Nigeria,University Of Nigeria Nsukka,Public Health,Started,2023,6,15,38,604,1
Course,2,Nigeria,Federal University Of Technology  Akure Nigeria,Cybersecurity,Started,2023,5,12,44,604,1
Course,1,Pakistan,Beacon House,Software Engineering,Started,2023,3,31,20,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2024,1,27,25,604,1
Course,2,India,Saint Louis University,Cyber Security,Team Allocated,2024,1,4,23,604,1
Course,1,Pakistan,Nust,Computer Science and Engineering,Team Allocated,2023,7,31,24,604,1
Course,2,India,Vasireddy Venkatadri Institute Of Technology,Computer Science with Internet of Things,Team Allocated,2023,8,24,23,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,1,27,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,6,31,604,1
Course,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,6,26,19,604,1
Course,1,United States,Saint Louis,Information Systems,Team Allocated,2023,8,19,25,604,1
Course,2,Nigeria,Saint Louis University,Cyber Security,Waitlisted,2024,2,27,36,604,1
Course,2,United States,Saint Louis University,Information Systems,Waitlisted,2024,3,2,25,604,1
Course,2,India,Vignan'S Lara Institute Of Technology & Science,Information Systems,Started,2023,2,23,24,604,1
Course,1,Nigeria,University Of Lagos,Pharmacy and Pharmacology,Team Allocated,2023,6,17,37,604,1
Course,2,United States,Saint Louis University,Other,Team Allocated,2023,7,26,27,604,1
Course,1,United States,Naperville Central High School,Nutrition Science,Team Allocated,2023,9,11,19,604,1
Course,1,Nigeria,Lagos State University,Pol,Started,2023,5,14,28,604,1
Course,2,India,Dr. A.P.J. Abdul Kalam Technical University Lucknow,Computer Science,Started,2023,6,14,32,604,1
Course,2,India,National Institute Of Technology Tiruchirapalli,Metallurgy and Materials Engineering,Started,2023,4,2,21,604,1
Course,2,United States,Saint Louis University,Public Health,Started,2023,2,20,35,604,1
Course,2,United States,Saint Louis University,Artificial Intelligence,Withdraw,2023,5,17,26,604,1
Course,2,Pakistan,Comsats University Islamabad,Finance,Team Allocated,2023,8,12,31,604,1
Course,2,United States,Saint Louis University,Information Systems,Started,2023,2,27,25,604,1
Course,2,United States,Saint Louis University,Computer Science and Information Systems,Team Allocated,2023,7,8,25,604,1
Course,1,United States,Saint Louis University,Biology,Withdraw,2023,6,28,21,604,1
Course,2,United States,Saint Louis University,Computer Science and Information Systems,Started,2023,2,6,25,604,1
Course,1,Ghana,Kwame Nkrumah University Of Science And Technology,Agriculture and Forestry,Team Allocated,2023,8,10,30,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,10,25,604,1
Course,2,United States,University Of Arizona,Geography,Team Allocated,2023,7,29,21,604,1
Course,2,United States,Monta Vista High School,Biochemistry,Team Allocated,2023,1,5,19,604,1
Course,2,India,Saint Louis University,Electrical and Computer Engineering,Team Allocated,2023,8,4,25,604,1
Course,1,India,Sathyabama University,Computer Science and Engineering,Started,2023,5,19,25,604,1
Course,2,India,Illinois Institute Of Technology,Information technology and management,Started,2023,5,17,24,604,1
Course,2,India,Vivekananda College Af Arts   Science And Commerce (Autonomous),Accounting and Finance,Team Allocated,2023,9,8,23,604,1
Course,2,Pakistan,Shah Abdul Latif University Khairpur Mirs,English Language and Literature,Started,2023,3,28,26,604,1
Course,2,Yemen,Thamar University,Dentistry,Waitlisted,2024,3,7,27,604,1
Course,1,China,Shenzhen International Course Center,Communication,Team Allocated,2023,7,25,22,604,1
Course,1,India,Rmd Engineering College,Computer Science,Started,2023,5,9,23,604,1
Course,2,United States,Saint Louis University,Computer Science,Started,2023,6,29,26,604,1
Course,2,Nepal,Nepalaya,Computer Science and Information Systems,Started,2023,6,11,20,604,1
Course,2,Nigeria,Kebbi State University Of Science And Technology Aliero,Biology,Team Allocated,2023,7,7,27,604,1
Course,2,Ghana,University Of Cape Coast,Accounting and Finance,Started,2023,6,19,31,604,1
Course,2,Nigeria,Kaduna State University  Kaduna,Data Visualization,Started,2023,1,20,28,604,1
Course,1,Pakistan,University Of The Punjab  Lahore,Food Science,Started,2023,6,15,23,604,1
Course,2,Nigeria,Uopeople,Computer Science,Team Allocated,2023,6,16,35,604,1
Course,1,United States,Saint Louis University,Medicine,Started,2023,5,31,20,604,1
Course,2,United States,Gm Institute Of Technology,Computer Science,Team Allocated,2023,7,9,24,604,1
Course,1,India,Banaras Hindu University,Psychology,Withdraw,2023,3,27,21,604,1
Course,1,Nigeria,Global Wealth University,Business Administration,Team Allocated,2023,4,13,23,604,1
Course,1,India,Saint Louis University,Public Health,Team Allocated,2023,7,9,28,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,5,1,27,604,1
Course,1,Bangladesh,Manaratul Uloom,Other,Started,2023,3,16,23,604,1
Course,1,India,International Institute Of Information Technology Bangalore,Software Engineering,Team Allocated,2023,12,10,27,604,1
Course,2,Pakistan,Mehran University Of Engineering And Technology,Cyber Security,Started,2023,6,14,21,604,1
Course,2,Ghana,Saint Louis University,MS in Supply Chain Management,Started,2023,3,7,25,604,1
Course,1,United States,Saint Louis University,Biological Sciences,Started,2023,5,23,20,604,1
Course,1,Pakistan,Ned University Of Engineering And Technology,English Linguistics,Started,2023,5,25,24,604,1
Course,1,India,Deogiri College,Bioinformatics,Started,2023,5,23,27,604,1
Course,1,Kenya,University Of Nairobi,Hospitality and Leisure Management,Started,2023,6,15,25,604,1
Course,2,United States,Saint Louis University,Computer Science,Team Allocated,2023,10,30,24,604,1
Course,2,India,Rewa Engineering College,Civil Engineering,Started,2023,7,6,21,604,1
Course,1,Nigeria,Lasu,English Language and Literature,Team Allocated,2023,8,12,25,604,1
Course,1,India,Srnist Ramapuram,Computer Engineering,Team Allocated,2023,8,27,22,604,1
Course,1,United States,Saint Louis University,Information Systems,Started,2023,2,21,24,604,1
Course,1,India,Dublin Business School,Financial Technology,Team Allocated,2023,11,22,24,604,1
Course,2,India,Bhavans Vivekananda College,Mass Communication,Waitlisted,2024,2,29,30,604,1
Course,2,United States,Saint Louis University,Business Analytics,Rewards Award,2023,12,7,24,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,3,24,604,1
Course,1,United States,Saint Louis University,Computer Science,Team Allocated,2023,7,9,28,604,1
Course,2,Pakistan,Superior University,Information technology,Started,2023,6,13,23,604,1
Course,2,Nigeria,National Open University Of Nigeria,Cybersecurity,Started,2023,2,15,42,604,1
Course,2,India,Kl Deemed To Be University,Computer Science,Team Allocated,2023,11,2,22,604,1
Course,1,India,Bal Bharati Public School,Psychology,Team Allocated,2023,7,14,19,604,1
Course,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,9,9,24,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,5,24,27,604,1
Course,2,Congo,African School Of Management Of Technology,Computer Science and Engineering,Team Allocated,2023,8,17,23,604,1
Course,2,India,Saint Louis University,Computer Science,Team Allocated,2023,8,11,27,604,1
Course,2,India,Oriental University,Agriculture and Forestry,Team Allocated,2023,8,12,25,604,1
Course,1,India,Illinois Institute Of Technology,Information Technology and Management,Team Allocated,2023,12,9,25,604,1
Course,1,United States,Saint Louis University,Information Systems,Team Allocated,2023,9,21,25,604,1
Course,2,India,Heritage Institute Of Technology,Electronics and Communication Engineering,Team Allocated,2023,8,5,22,604,1
Course,2,United States,Saint Louis University,Health Data Science,Team Allocated,2023,8,6,29,604,1
Course,1,India,Saint Louis University,Information Systems,Team Allocated,2023,9,13,27,604,1
Course,1,Nigeria,Rivers State University,Quantity Surveying,Team Allocated,2024,2,12,26,604,1
Course,1,Zambia,Zambia University College Of Technology,Computer Science and Information Systems,Started,2023,3,20,22,604,1
Course,2,India,Gayatri Vidya Parishad College Of Engineering,Computer Science,Started,2023,5,8,23,604,1
Course,2,Pakistan,Uop Pakistan,Project Management,Started,2023,6,6,53,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,8,19,24,604,1
Course,1,United States,Saint Louis University,Health Data Science,Team Allocated,2024,2,6,24,604,1
Course,1,India,Shri Vaishnav Institute Of Information Technology,Masters in Computer Science,Started,2023,5,4,25,604,1
Course,2,India,Aliah University,Cyber Security,Team Allocated,2023,2,24,28,604,1
Course,2,India,S P D College,Mathematics,Started,2023,6,13,26,604,1
Course,2,India,Vellore Institute Of Technology,Computer Science,Team Allocated,2023,7,21,22,604,1
Course,2,India,St. Xaviers College,Commerce,Started,2023,3,26,22,604,1
Course,2,Ghana,University Of Mines And Technology,Environmental and Safety Engineering,Started,2023,3,18,21,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,7,9,27,604,1
Course,1,Ethiopia,Hawassa University,Software Engineering,Started,2023,3,29,15,604,1
Course,2,India,Saint Louis University,Information Systems,Started,2023,1,5,25,604,1
Course,2,Liberia,Yes Christian Academy,Network and Information Security,Started,2023,6,15,22,604,1
Course,2,United States,Saint Louis University,Cyber Security,Team Allocated,2024,1,22,25,604,1
Course,1,India,Jai Bharat Art'S And Science College,Business Administration,Started,2023,6,13,24,604,1
Course,1,India,Unknown,Cloud Computing,Team Allocated,2024,1,9,24,604,1
Course,2,Nigeria,Federal University Oye Ekiti.,Economics,Started,2023,6,16,27,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,8,18,25,604,1
Course,1,United States,Saint Louis University,Electrical and Computer Engineering,Team Allocated,2023,8,10,23,604,1
Course,2,Pakistan,Shifa Tameer E Millat University,Pharmacy and Pharmacology,Started,2023,6,14,26,604,1
Course,1,United States,Saint Louis University,Health Data Science,Started,2023,2,21,35,604,1
Course,1,India,Saint Louis University,Computer Science,Team Allocated,2023,9,29,25,604,1
Course,1,India,Vit University,MBA,Started,2023,5,2,23,604,1
Course,2,India,K L University,Computer Science and Engineering,Team Allocated,2023,5,14,27,604,1
Course,2,United Kingdom,Gates Institute Of Technology,Fresher,Started,2023,5,5,25,604,1
Course,1,India,Bs Rahman Cresent Institute,Law and Legal Studies,Started,2023,3,29,21,604,1
Course,2,Egypt,Egyptian Chaineese University,Software Engineering,Started,2023,6,13,27,604,1
Course,2,India,Vignan Degree And Pg College,Computer Applications,Started,2023,6,6,26,604,1
Course,1,Bangladesh,National University Bangladesh,Mathematics,Team Allocated,2023,8,14,27,604,1
Course,2,United States,Saint Louis University,Information Systems,Waitlisted,2024,1,29,24,604,1
Course,1,India,Saint Louis University,Biology,Team Allocated,2023,6,26,20,604,1
Course,2,Nigeria,Institute Of Management And Technology,Mechanical and Aerospace Engineering,Team Allocated,2023,7,21,40,604,1
Course,1,India,Rk University,Computer Engineering,Started,2023,5,17,20,604,1
Course,1,United Arab Emirates,Manipal University Dubai,Mechatronics Engineering,Team Allocated,2023,7,6,24,604,1
Course,1,India,Ranchi University,Accounting and Finance,Team Allocated,2023,7,20,24,604,1
Course,2,India,Saint Louis University,Project Management,Started,2023,3,20,24,604,1
Course,2,India,Dhanekula Institute Of Engineering And Technology,Computer Science and Engineering,Team Allocated,2024,2,13,25,604,1
Course,1,United States,Saint Louis University,Supply Chain Management,Team Allocated,2023,8,24,31,604,1
Course,1,Vietnam,Trường Đại Học Kinh Tế Quốc Dân,Accounting and Finance,Team Allocated,2023,7,6,22,604,1
Course,2,Ethiopia,Unity University,Computer Science,Team Allocated,2023,8,5,27,604,1
Course,1,Nigeria,School Of Nursing,Nursing,Started,2023,6,15,27,604,1
Course,2,Egypt,Misr International University,Dentistry,Started,2023,6,13,25,604,1
Course,1,Pakistan,Institute Of Professional Psychology  Bahria University,Psychology,Started,2023,5,28,24,604,1
Course,1,Nigeria,University Of Uyo,Computer Engineering,Started,2023,6,19,27,604,1
Course,1,India,Deen Dayal Upadhyaya College  University Of Delhi,English Language and Literature,Team Allocated,2023,9,19,20,604,1
Course,1,Nigeria,Nnamdi Azikwe University,Political Science,Team Allocated,2023,8,30,25,604,1
Course,2,India,Saint Louis University,Information Systems,Started,2023,4,29,27,604,1
Course,2,Bangladesh,Leading University  Sylhet,Network and Information Security,Started,2023,6,28,29,604,1
Course,2,Nigeria,Esgt Benin University,Business Administration,Team Allocated,2023,8,7,26,604,1
Course,1,United States,Saint Louis University I,Health Data Science,Team Allocated,2023,11,29,27,604,1
Course,2,India,Saint Louis University,Information Systems,Team Allocated,2023,6,1,25,604,1
Course,1,Nigeria,Nnamdi Azikiwe University,Electrical and Computer Engineering,Started,2023,3,16,29,604,1
Course,1,United States,Bhoj Reddy Engineering College For Women,Other,Team Allocated,2023,5,27,24,604,1
Course,1,Kenya,Jkuat,Computer Science and Information Systems,Started,2023,4,1,21,604,1
Course,2,Nigeria,Federal College Of Animal Health And Production Technology  Apata  Ibadan,Animal Production and Health,Team Allocated,2023,6,25,39,604,1
Course,2,Ghana,National Pirogov Medical University,Public Health,Team Allocated,2023,7,9,32,604,1
Course,1,India,Illinois Institute Of Technology,Cyber Security,Started,2023,5,9,25,604,1
Course,2,India,Sri Indu,Computer Science and Engineering,Started,2023,4,1,24,604,1
Course,1,Japan,Saint Louis University,Supply Chain Management,Started,2023,2,15,28,604,1
Course,2,India,University Of Delhi,Economics,Team Allocated,2023,9,25,22,604,1
Course,2,Pakistan,Mian Faizan,Faizan,Started,2023,6,14,26,604,1
Course,2,India,Sri Venkateswara College Of Engineering And Technology,Information Systems,Started,2023,2,22,27,604,1
Course,2,Pakistan,Agriculture University,Agriculture and Forestry,Started,2023,6,15,22,604,1
Course,1,Pakistan,Jinnah University For Women,Marketing,Team Allocated,2023,3,26,24,604,1
Course,1,India,Saint Louis University,Information Systems,Team Allocated,2023,7,23,24,604,1
Course,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,8,10,26,604,1
Course,2,Nigeria,Bayero University Kano,Biochemistry,Started,2023,6,16,24,604,1
Course,2,Nigeria,University Of Benin,International Relations,Team Allocated,2023,1,18,24,604,1
Course,1,United Kingdom,City Of Wolverhampton College,Nursing,Team Allocated,2023,7,23,22,604,1
Course,2,Pakistan,Roots International Schools,Computer Science and Information Systems,Started,2023,3,14,19,604,1
Course,1,Nigeria,School Of Nursing   Ogun State,Nursing,Started,2023,6,15,25,604,1
Course,1,Bangladesh,Abdul Kadir Molla International School,Medicine,Started,2023,1,5,19,604,1
Course,2,United States,Saint Louis University,Artificial Intelligence and Robotics,Team Allocated,2023,7,10,27,604,1
Course,1,Ghana,Upsa,Business Administration,Started,2023,3,26,19,604,1
Course,2,United States,Saint Louis University,Information Systems,Team Allocated,2023,11,27,28,604,1
Course,2,United States,Saint Louis University,Computer Information Systems,Team Allocated,2024,1,16,28,604,1
Course,2,United States,Illinois Institute Of Technology,Mechanical and Aerospace Engineering,Team Allocated,2023,10,2,30,604,1
Course,2,Nigeria,University Of Maiduguri Borno State,Chemistry,Team Allocated,2023,7,8,32,604,1
Course,2,India,Saint Louis University,Project Management,Waitlisted,2024,2,27,25,604,1
Course,1,Kenya,Kenyatta University,Economics,Started,2023,3,31,22,604,1
Course,2,India,Swami Vivekanand Collage,Business Analytics,Started,2023,3,21,18,604,1
Course,2,India,Bms Institute Of Technology And Management,Mechanical Engineering,Team Allocated,2023,6,25,25,604,1
Course,2,India,Mit-Wpu,Pharmacy and Pharmacology,Team Allocated,2023,9,24,25,604,1
Course,1,Nigeria,Yaba College Of Technology,Project Management,Team Allocated,2024,2,16,49,604,1
Course,2,Pakistan,Creative It Institute,Not Know Ab,Started,2023,6,10,24,604,1
Course,2,Nigeria,Obafemi Awolowo University,Public Administration,Started,2023,6,14,24,604,1
Course,2,India,Sae College,Other,Started,2023,6,13,43,604,1
Course,1,United States,Saint Louis University,Health Data Science,Team Allocated,2023,10,4,27,604,1
Course,1,India,Mjcet,Computer Science,Started,2023,5,17,24,604,1
